class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
[e],8.68,x,t,y,f,f,f,f,7.4,13.19,e,y,y,p,f,f,f,n,d,u
[p],1.93,s,g,o,f,a,d,p,1.91,0.94,e,y,o,p,f,f,f,w,d,a
[p],8.67,x,y,r,t,a,c,p,4.5,17.78,e,t,r,p,f,f,f,w,d,a
[p],4.98,x,s,b,f,a,d,b,5.86,7.01,e,h,g,p,w,f,f,p,d,u
[p],6.02,x,k,w,f,d,d,b,5.89,5.58,e,s,g,p,w,f,f,p,d,w
[e],2.99,x,s,e,t,f,f,f,5.4,7.08,e,s,y,p,f,f,f,n,u,u
[p],6.85,f,t,e,t,a,c,w,3.87,20.72,e,s,y,p,f,f,f,b,d,a
[p],5.22,f,s,b,t,d,c,w,7.6,5.22,e,s,b,p,f,f,f,b,d,u
[p],8.81,f,s,e,f,d,c,y,6.98,22.4,e,s,w,p,f,f,f,y,d,u
[e],7.46,x,y,y,f,a,d,w,5.41,14.43,e,s,w,p,f,f,f,w,d,u
[p],7.04,x,t,e,f,x,d,y,8.13,7.05,e,f,y,p,f,f,f,w,d,s
[p],24.88,x,s,n,t,e,c,n,21.02,20.45,e,s,n,p,w,t,l,r,g,u
[p],1.34,x,t,y,t,x,d,y,2.99,2.27,e,y,y,p,f,f,f,w,l,u
[e],6.37,f,y,b,f,a,c,w,6.43,18.41,e,i,n,p,w,t,e,w,d,a
[e],13.34,x,s,y,f,f,f,f,16.27,16.78,e,g,n,p,f,f,f,n,d,a
[e],8.2,p,t,b,t,d,c,p,4.39,18.81,e,s,w,p,f,f,f,w,g,u
[e],2.83,x,k,e,f,d,d,y,8.06,6.24,e,s,y,p,f,f,f,w,d,a
[p],10.25,x,s,e,f,a,c,w,7.12,24.08,e,s,w,p,f,f,f,o,d,u
[p],0.74,b,g,k,f,a,c,k,0.65,1.12,e,i,w,u,g,f,f,k,d,s
[p],6.31,x,s,w,t,e,c,y,16.37,12.48,b,s,w,u,w,t,p,w,g,u
[e],5.44,x,k,n,f,a,c,e,7.18,10.85,e,k,e,p,y,t,e,n,d,u
[p],5.81,s,i,p,t,d,c,p,5.0,14.88,e,s,p,p,f,f,f,w,d,u
[p],11.0,x,h,n,f,a,c,n,9.23,24.7,s,y,w,p,f,f,f,n,d,a
[p],9.31,f,t,y,t,e,c,w,11.13,11.49,b,s,y,u,y,t,r,w,d,a
[e],5.12,f,s,b,f,d,c,w,3.66,5.08,e,s,w,p,f,f,f,w,d,w
[p],6.62,x,s,b,f,e,c,w,6.73,10.38,b,s,w,u,w,t,e,w,d,a
[p],5.95,f,s,w,f,e,c,w,6.84,7.51,b,y,g,p,w,f,f,w,u,s
[p],6.23,f,s,n,t,a,c,b,9.33,10.38,e,s,b,p,f,f,f,b,d,u
[p],0.58,c,s,o,f,d,d,w,2.25,0.98,e,s,o,p,f,f,f,w,d,u
[e],9.76,x,t,o,f,e,c,o,10.31,11.26,b,s,y,u,w,t,r,w,d,a
[p],12.18,s,t,g,t,d,c,n,8.48,20.09,e,s,y,p,f,f,f,y,d,a
[e],2.18,x,s,n,t,d,d,w,14.49,9.92,e,s,w,p,w,f,f,w,d,a
[p],1.29,s,g,n,f,a,d,p,1.75,0.46,e,y,o,p,f,f,f,w,d,a
[p],2.54,x,w,y,f,e,c,n,0.11,5.2,e,p,p,p,f,f,f,w,d,a
[e],4.5,x,s,k,t,f,f,f,2.64,9.61,e,y,u,p,f,f,f,n,d,a
[e],13.64,f,t,u,t,d,c,w,7.33,20.1,e,s,w,p,f,f,f,o,d,u
[p],4.34,x,y,b,t,e,c,w,6.65,7.05,s,s,n,p,w,t,e,w,d,u
[p],3.66,f,y,o,f,s,c,w,5.69,3.21,e,y,o,p,f,f,f,w,d,s
[e],3.12,x,s,e,t,f,f,f,5.89,8.76,e,s,y,p,f,f,f,n,d,u
[p],14.9,s,s,n,f,a,c,w,10.63,43.41,e,s,y,p,f,f,f,b,b,a
[e],6.13,x,s,n,f,f,f,f,4.65,10.58,e,y,y,p,f,f,f,n,d,u
[p],7.22,s,i,w,t,d,c,p,5.25,15.55,e,s,p,p,f,f,f,w,d,u
[p],7.69,f,s,w,f,e,c,w,10.78,10.35,b,s,w,u,y,t,r,w,d,a
[e],10.29,x,t,o,f,e,c,o,11.18,10.79,b,s,y,u,w,t,r,w,d,u
[p],4.91,s,s,n,f,s,c,w,5.25,8.69,e,g,b,p,f,f,f,w,u,u
[p],14.81,f,s,y,f,a,c,w,10.81,45.89,e,s,e,p,f,f,f,b,b,a
[p],6.28,x,s,b,f,e,c,w,6.78,11.21,b,i,w,u,w,t,e,w,g,u
[e],5.58,x,h,w,f,d,d,w,6.3,0.58,e,s,w,p,f,f,f,w,g,a
[e],7.84,x,y,y,t,d,c,y,3.61,19.71,e,s,y,p,f,f,f,b,d,a
[e],4.21,x,s,e,f,d,c,w,2.11,10.88,e,t,u,p,f,f,f,y,d,s
[p],6.16,x,t,g,f,a,d,w,5.39,7.85,e,t,w,p,f,f,f,w,d,a
[p],6.71,f,s,o,f,x,d,o,9.5,7.07,e,f,o,p,f,f,f,w,d,u
[p],9.24,f,s,e,f,a,c,w,7.61,21.79,e,s,e,p,f,f,f,y,d,u
[p],4.43,x,y,y,f,a,c,w,7.09,2.86,e,t,w,p,w,t,c,n,d,u
[p],4.46,x,g,o,f,a,d,p,10.85,3.45,e,y,o,p,f,f,f,w,h,a
[e],7.72,o,w,n,t,f,f,f,8.65,49.58,e,w,w,p,f,f,f,w,d,s
[e],9.04,f,s,u,t,a,c,w,5.42,15.49,e,s,w,p,f,f,f,w,d,u
[p],9.48,x,y,w,f,e,c,w,13.33,14.14,b,s,w,u,w,t,l,w,d,a
[e],6.16,x,t,y,f,a,d,w,4.34,14.72,e,s,w,p,f,f,f,w,d,a
[e],2.9,x,s,e,t,f,f,f,5.26,7.72,e,s,y,p,f,f,f,n,u,a
[p],4.64,f,t,p,f,a,c,w,2.7,0.41,e,s,w,p,f,f,f,w,d,a
[e],10.87,s,t,u,t,a,c,p,6.31,23.65,e,s,w,p,f,f,f,p,d,u
[e],13.15,x,s,g,f,f,f,f,13.44,24.7,e,s,g,p,f,f,f,n,d,u
[p],6.83,f,t,o,f,d,d,w,4.78,15.41,e,s,p,p,f,f,f,b,d,a
[e],4.86,x,k,n,f,a,c,e,8.78,13.42,e,k,e,p,y,t,e,n,d,u
[p],15.92,x,y,n,t,e,c,w,13.54,21.35,e,s,n,p,w,t,l,r,m,u
[e],1.69,s,s,o,f,f,f,f,2.33,4.07,e,s,o,p,f,f,f,y,d,a
[p],21.41,x,y,w,t,e,c,n,15.98,18.37,e,s,n,p,w,t,l,r,g,u
[p],3.97,f,s,b,f,a,c,n,6.15,6.55,e,s,b,p,w,t,r,b,d,s
[p],7.02,b,k,w,f,x,c,w,6.76,7.88,s,k,y,p,f,f,f,n,d,a
[e],6.26,x,s,b,f,d,c,w,3.31,5.98,e,s,w,p,f,f,f,g,d,w
[p],4.7,s,i,w,t,d,c,p,3.76,14.18,e,s,w,p,f,f,f,w,d,a
[p],1.29,x,g,n,f,a,d,p,1.86,0.74,e,y,o,p,f,f,f,w,d,u
[p],4.01,x,y,g,f,e,c,w,7.43,5.95,b,s,g,p,w,f,f,w,u,s
[p],9.5,x,t,r,t,a,c,p,5.53,15.63,e,y,r,p,f,f,f,w,d,a
[p],5.03,f,y,w,f,s,c,w,5.1,17.55,s,k,w,p,f,f,f,w,d,u
[p],12.14,x,t,y,t,d,c,w,6.8,21.0,e,t,w,p,f,f,f,y,d,a
[p],3.48,b,s,n,f,a,d,p,7.55,7.69,e,g,n,p,f,f,f,p,d,s
[p],6.23,x,y,e,t,f,f,f,7.85,15.25,e,y,y,p,f,f,f,n,d,a
[e],5.1,x,y,n,f,e,c,n,4.54,14.93,e,s,w,p,w,t,e,n,m,a
[e],1.69,x,s,e,t,a,c,w,2.9,3.92,e,s,e,p,f,f,f,w,d,u
[p],5.09,x,t,o,f,e,c,w,7.6,9.85,b,s,y,u,y,t,r,w,d,a
[e],5.75,x,s,y,f,e,c,w,9.17,6.7,e,s,p,p,f,f,f,p,d,s
[p],4.37,x,g,w,f,x,c,w,7.41,4.04,e,s,w,p,f,f,f,w,d,u
[p],11.61,x,t,n,t,d,c,n,6.77,26.53,e,s,b,p,f,f,f,y,d,a
[p],5.55,x,s,w,f,e,c,w,9.68,10.66,s,y,w,u,w,t,r,w,d,a
[p],6.35,x,t,y,t,e,c,w,8.36,8.3,b,y,y,u,y,t,r,w,d,s
[e],2.06,x,s,n,t,d,c,w,4.0,6.14,e,s,n,p,f,f,f,w,d,u
[p],6.46,x,t,g,f,a,c,g,6.02,6.53,e,s,w,p,f,f,f,p,d,s
[p],5.23,x,t,e,f,a,c,w,5.04,0.88,e,s,w,p,f,f,f,w,g,u
[p],9.16,f,y,w,f,e,c,w,9.72,10.56,s,s,w,u,w,t,r,w,d,a
[p],9.92,s,s,e,t,a,c,b,5.21,22.65,e,s,p,p,f,f,f,y,d,a
[p],4.82,x,y,w,f,e,c,w,5.62,6.53,b,s,w,p,w,f,f,w,u,a
[p],6.44,x,i,n,t,f,f,f,8.75,15.5,e,y,e,p,f,f,f,n,d,a
[p],8.31,x,t,e,f,d,c,y,6.96,21.93,e,s,e,p,f,f,f,y,d,u
[e],7.08,x,s,n,f,f,f,f,15.11,15.69,e,y,n,p,f,f,f,n,d,u
[p],5.44,f,y,b,f,s,c,w,4.57,15.57,s,k,w,p,f,f,f,w,d,s
[e],3.62,x,s,y,f,e,c,p,8.61,4.43,e,k,p,p,f,f,f,p,d,s
[p],8.71,x,t,y,t,d,c,n,5.65,18.36,e,t,y,p,f,f,f,y,d,u
[p],5.29,f,t,o,f,e,c,y,7.88,10.07,b,s,y,u,y,t,r,w,d,a
[e],5.67,x,s,y,f,f,f,f,8.51,8.58,e,t,y,p,f,f,f,n,d,a
[p],2.03,x,s,n,t,x,d,y,4.5,2.76,e,y,e,p,f,f,f,w,l,u
[p],11.97,x,y,r,t,d,c,p,6.87,22.5,e,y,r,p,f,f,f,w,d,a
[p],9.09,x,y,e,f,x,d,o,8.49,10.97,e,f,o,p,f,f,f,w,d,a
[e],12.08,f,s,u,t,a,c,w,7.09,15.84,e,s,e,p,f,f,f,y,d,a
[e],2.73,x,s,o,f,d,d,o,7.23,5.61,e,s,y,p,f,f,f,w,d,u
[p],7.16,x,s,w,t,e,c,n,5.0,6.71,b,s,w,p,w,t,r,n,d,u
[p],1.56,f,i,k,f,a,c,g,0.71,1.88,e,i,w,u,g,f,f,k,u,u
[p],5.75,x,g,n,f,a,d,p,11.89,6.2,e,y,o,p,f,f,f,w,d,a
[p],4.43,x,s,g,f,e,c,w,6.53,7.35,b,s,w,p,w,f,f,w,d,u
[p],10.7,x,t,n,f,s,c,b,7.74,18.28,s,y,w,p,f,f,f,n,d,a
[e],5.29,b,s,y,f,e,c,w,8.35,7.15,e,s,w,p,f,f,f,p,d,s
[e],8.18,x,s,e,t,a,c,w,4.1,17.39,e,s,n,p,f,f,f,w,d,s
[e],9.18,f,s,b,f,d,c,w,4.13,9.28,e,s,w,p,f,f,f,w,d,w
[p],5.31,f,s,y,t,s,c,y,3.85,12.72,e,s,e,p,f,f,f,b,d,u
[p],4.65,s,t,w,t,d,c,w,3.41,12.38,e,s,p,p,f,f,f,w,d,u
[e],4.75,f,i,n,f,d,c,g,6.38,11.27,s,s,w,p,f,f,f,p,l,a
[e],10.12,c,t,o,f,e,c,o,11.2,13.43,b,s,y,u,w,t,r,w,d,a
[e],2.58,x,s,e,f,d,d,y,8.72,6.4,e,s,o,p,f,f,f,w,d,u
[p],10.54,x,t,r,t,d,c,p,6.12,18.7,e,y,r,p,f,f,f,w,d,a
[p],8.7,x,t,g,t,d,c,w,8.37,20.84,e,s,y,p,f,f,f,y,d,u
[p],4.25,x,t,n,t,s,c,y,4.94,13.45,e,s,y,p,f,f,f,b,d,u
[e],14.5,f,t,n,f,a,c,w,10.79,32.23,e,s,w,p,w,t,r,w,d,a
[p],19.26,f,y,w,t,e,c,n,13.78,19.32,e,s,w,p,w,t,l,r,g,a
[e],13.0,x,s,g,f,f,f,f,10.51,26.55,e,s,g,p,f,f,f,n,d,a
[e],10.75,x,s,y,f,f,f,f,7.86,17.31,s,y,y,p,f,f,f,y,d,u
[e],6.26,x,s,n,f,d,c,w,5.08,15.02,e,t,u,p,f,f,f,y,d,u
[p],7.25,f,y,b,f,e,c,w,11.13,10.84,b,s,w,u,w,t,r,w,d,a
[p],11.7,s,t,n,t,d,c,n,8.17,24.34,e,t,y,p,f,f,f,y,d,a
[e],21.64,x,t,e,t,d,c,w,8.83,33.11,e,s,u,p,f,f,f,b,d,u
[e],11.51,x,s,w,f,d,c,w,5.69,12.71,e,s,w,p,f,f,f,w,d,u
[e],10.7,x,s,r,f,a,c,w,5.93,16.13,e,s,w,p,f,f,f,w,d,u
[e],6.77,f,s,o,f,a,c,o,6.4,7.04,e,s,o,p,f,f,f,n,d,a
[p],9.79,s,s,o,f,d,c,o,10.37,13.75,e,s,o,p,f,f,f,w,g,a
[e],10.09,f,t,w,t,a,c,w,6.02,25.54,e,s,w,p,f,f,f,w,d,u
[e],5.92,x,s,n,t,f,f,f,2.49,10.29,e,y,n,p,f,f,f,n,d,a
[e],3.23,x,h,w,f,d,d,w,5.37,0.46,e,s,w,p,f,f,f,w,w,u
[p],15.42,s,t,g,t,d,c,w,7.06,21.91,e,s,y,p,f,f,f,y,d,a
[e],8.7,f,s,e,t,a,c,w,6.54,25.27,e,s,n,p,f,f,f,w,d,s
[e],6.4,f,s,u,f,a,c,y,3.96,1.02,s,s,w,p,f,f,f,y,d,a
[p],0.52,x,s,o,f,d,d,w,2.82,1.02,e,s,o,p,f,f,f,w,d,u
[p],9.78,s,y,g,t,d,c,w,5.47,27.54,e,s,e,p,f,f,f,w,d,u
[e],5.52,x,t,y,f,f,f,f,10.26,10.17,e,t,y,p,f,f,f,n,d,a
[p],2.92,f,g,n,f,x,d,g,7.26,2.8,r,f,g,p,f,f,f,w,d,u
[p],5.55,x,s,w,t,e,c,w,14.24,15.08,b,s,w,u,w,t,p,w,g,u
[e],12.5,x,s,n,f,f,f,f,8.41,14.41,s,y,y,p,f,f,f,y,d,u
[p],6.39,x,t,e,t,x,c,n,6.43,15.74,e,i,w,p,f,f,f,w,d,u
[e],3.08,x,s,e,t,f,f,f,5.33,8.31,e,s,y,p,f,f,f,n,u,a
[p],3.07,b,k,n,f,a,d,p,5.05,6.17,e,g,n,p,f,f,f,p,d,s
[e],7.39,x,s,u,t,a,c,w,6.54,23.17,e,s,w,p,f,f,f,w,d,u
[e],1.7,x,s,e,f,d,d,y,5.51,3.7,e,s,y,p,f,f,f,w,d,u
[e],8.16,x,s,p,t,f,f,f,6.13,16.67,e,s,y,p,f,f,f,n,d,u
[e],8.11,o,w,n,t,f,f,f,7.95,50.21,e,w,w,p,f,f,f,w,d,s
[e],9.35,f,s,y,f,x,c,w,4.46,26.4,e,i,w,p,f,f,f,w,d,a
[p],3.32,f,g,b,f,x,d,g,7.38,3.38,r,f,g,p,f,f,f,w,d,a
[p],5.81,f,s,y,t,s,c,y,5.35,15.28,e,s,n,p,f,f,f,b,d,u
[p],9.5,x,y,y,t,e,c,w,12.25,10.88,b,s,y,u,y,t,r,w,u,a
[e],3.11,x,y,n,t,d,d,w,14.28,10.85,e,s,n,p,w,f,f,w,d,a
[e],5.36,f,s,n,f,a,c,o,4.77,6.1,e,s,w,p,f,f,f,n,d,u
[p],7.92,b,k,w,f,x,c,w,7.19,12.84,s,k,y,p,f,f,f,n,d,a
[p],4.42,f,s,w,f,s,c,w,4.67,15.79,s,s,w,p,f,f,f,w,d,a
[p],6.39,x,s,y,t,x,c,y,3.5,14.97,e,s,n,p,f,f,f,b,d,a
[e],6.98,x,y,l,t,d,c,y,4.0,17.96,e,s,n,p,f,f,f,y,d,a
[p],17.24,f,s,y,f,a,c,w,12.35,40.21,e,s,y,p,f,f,f,b,b,a
[p],11.99,x,s,e,f,x,d,y,11.78,9.5,e,f,o,p,f,f,f,w,d,u
[p],3.8,x,g,o,f,a,d,p,10.04,5.81,e,y,o,p,f,f,f,w,d,a
[p],4.51,f,s,e,f,a,c,w,3.5,0.65,e,s,w,p,f,f,f,w,g,a
[p],8.82,x,i,n,t,f,f,f,8.37,16.11,e,y,y,p,f,f,f,n,d,a
[e],12.34,x,s,w,f,s,c,w,8.94,30.54,e,y,w,p,w,t,r,w,d,a
[e],22.01,x,t,u,t,a,c,y,7.42,23.26,e,s,w,p,f,f,f,b,d,a
[e],6.01,b,s,y,f,e,c,w,9.95,11.03,e,k,w,p,f,f,f,p,d,s
[p],6.98,f,s,p,f,x,c,w,5.26,10.4,e,g,b,p,f,f,f,w,u,u
[p],8.55,f,t,n,f,a,c,n,6.27,16.7,s,y,w,p,f,f,f,n,g,a
[e],11.28,x,s,p,t,f,f,f,7.39,22.56,e,s,y,p,f,f,f,n,d,u
[e],8.47,x,s,y,f,f,f,f,7.75,14.22,e,y,n,p,f,f,f,n,d,u
[e],7.96,x,y,r,t,d,c,y,4.8,21.25,e,s,y,p,f,f,f,y,d,a
[e],6.62,x,s,n,f,a,c,g,5.83,11.58,s,s,w,p,f,f,f,p,l,a
[e],5.87,x,t,n,t,f,f,f,5.21,3.59,e,y,n,p,f,f,f,n,d,u
[e],12.4,x,s,y,f,f,f,f,9.51,14.65,s,y,y,p,f,f,f,y,d,a
[e],6.71,x,s,n,f,f,f,f,4.89,2.61,s,y,y,p,f,f,f,n,d,u
[e],2.22,x,s,n,t,d,d,w,11.83,10.09,e,s,b,p,w,f,f,w,d,a
[p],6.05,f,t,y,t,e,c,w,8.53,7.89,b,y,y,u,y,t,r,w,u,a
[e],3.5,x,t,b,f,d,d,w,4.82,0.51,e,s,w,p,f,f,f,w,w,u
[e],9.36,x,s,o,t,d,c,w,8.64,16.22,e,g,b,p,f,f,f,w,d,u
[e],3.38,x,t,b,f,d,d,w,4.26,0.25,e,s,w,p,f,f,f,w,g,a
[e],3.46,f,k,n,f,a,c,e,3.56,1.38,e,k,y,p,y,t,e,n,d,a
[p],7.08,f,y,b,f,e,c,w,10.38,9.35,b,y,w,u,w,t,r,w,d,a
[e],12.75,f,s,w,f,s,c,w,11.0,35.21,e,y,w,p,w,t,s,w,d,a
[e],6.36,o,t,y,t,f,f,f,7.36,6.71,e,y,n,p,f,f,f,n,d,u
[p],0.72,c,s,o,f,d,d,w,2.85,1.07,e,s,o,p,f,f,f,w,d,s
[p],5.25,f,t,g,f,a,c,p,5.7,8.03,e,s,w,p,f,f,f,p,d,s
[e],5.74,b,s,y,f,e,c,p,11.28,13.57,e,s,w,p,f,f,f,p,d,s
[e],4.0,x,s,y,f,f,f,f,4.73,11.0,s,y,y,p,f,f,f,n,d,a
[e],7.74,x,i,y,t,a,c,w,5.26,18.79,e,s,e,p,f,f,f,w,d,a
[p],5.99,x,s,w,t,e,c,p,6.07,7.32,b,s,w,p,w,t,r,n,d,a
[p],9.61,x,y,r,t,d,c,p,5.97,16.62,e,y,r,p,f,f,f,w,d,a
[p],5.08,x,s,w,t,e,d,w,10.58,14.76,b,t,w,u,w,t,p,w,m,u
[e],5.04,x,t,y,t,f,f,f,4.85,3.09,e,y,n,p,f,f,f,n,d,a
[p],0.53,x,s,o,f,d,d,w,2.71,0.89,e,s,o,p,f,f,f,w,d,s
[e],8.97,x,y,l,t,d,c,y,3.87,20.31,e,s,n,p,f,f,f,y,d,a
[p],6.76,x,t,o,f,a,c,y,9.01,3.12,e,k,y,p,y,t,c,n,d,a
[p],5.91,b,k,w,f,x,c,n,6.08,6.55,s,k,y,p,f,f,f,n,d,a
[p],12.22,f,y,g,t,d,c,k,5.66,26.59,e,s,e,p,f,f,f,w,d,u
[e],2.38,f,y,n,t,d,d,w,13.75,11.71,e,s,w,p,w,f,f,w,d,a
[p],6.73,x,y,n,t,f,f,f,7.93,16.18,e,y,y,p,f,f,f,n,d,u
[e],5.42,x,i,g,f,a,c,g,4.08,10.56,s,s,w,p,f,f,f,p,l,u
[p],6.84,x,t,k,t,a,c,w,5.85,22.76,e,s,e,p,f,f,f,w,d,u
[e],3.85,x,s,o,f,x,c,g,7.23,6.7,e,i,o,p,w,t,e,b,d,a
[e],9.39,x,s,p,t,f,f,f,8.38,17.95,e,s,y,p,f,f,f,n,d,a
[p],6.15,x,k,w,f,x,c,n,5.46,5.94,s,k,w,p,f,f,f,n,d,u
[p],6.02,x,t,w,f,d,d,w,4.81,6.65,e,t,w,p,f,f,f,w,d,a
[e],9.78,f,s,n,f,s,c,w,8.71,37.79,e,s,w,p,w,t,l,w,d,a
[p],3.65,x,t,n,t,x,c,b,4.14,10.8,e,s,n,p,f,f,f,b,d,a
[p],9.43,s,s,k,t,a,c,w,6.74,24.86,e,s,e,p,f,f,f,w,d,a
[e],7.64,x,s,p,t,a,c,w,6.09,25.35,e,s,w,p,f,f,f,w,d,u
[e],12.16,x,s,w,t,e,c,p,15.34,12.95,s,s,w,p,w,t,r,n,d,a
[p],17.4,f,y,w,t,e,c,w,13.07,18.17,e,s,w,p,w,t,l,r,m,u
[p],8.0,f,s,w,f,e,c,w,11.21,13.55,s,y,w,u,w,t,r,w,d,a
[e],7.3,x,y,n,f,e,c,p,4.91,16.41,e,s,w,p,w,t,e,n,m,u
[p],11.36,x,s,o,f,d,c,o,7.7,11.74,e,s,o,p,f,f,f,y,g,u
[e],7.7,x,h,b,f,d,c,w,3.81,8.09,e,s,w,p,f,f,f,g,d,w
[e],3.08,f,h,b,f,d,d,w,4.64,0.63,e,s,w,p,f,f,f,w,g,a
[p],0.54,x,s,o,f,d,d,o,2.64,1.3,e,s,o,p,f,f,f,w,d,u
[p],10.49,f,t,o,f,x,d,o,9.18,3.77,e,f,o,p,f,f,f,w,d,s
[p],10.64,b,y,o,f,a,c,w,10.67,12.1,e,k,w,p,w,t,c,n,d,u
[p],4.11,x,g,n,f,a,d,p,11.97,5.94,e,y,o,p,f,f,f,w,h,a
[p],7.78,x,t,n,t,d,c,n,6.58,20.51,e,s,n,p,f,f,f,w,d,a
[p],8.1,b,y,y,f,a,c,w,9.32,11.36,e,k,w,p,w,t,c,n,d,a
[e],7.94,f,s,n,f,d,c,g,7.02,14.51,s,s,w,p,f,f,f,p,l,a
[e],2.5,x,s,e,t,f,f,f,4.28,7.14,e,s,y,p,f,f,f,n,g,u
[e],6.85,f,y,n,f,a,c,w,6.28,18.59,e,y,w,p,w,t,e,w,d,a
[p],6.49,f,s,n,t,a,c,w,8.61,8.24,e,s,b,p,f,f,f,b,d,a
[e],12.37,x,s,b,f,f,f,f,12.76,24.92,e,s,w,p,f,f,f,n,d,u
[e],5.2,f,h,w,f,d,d,w,7.15,0.83,e,s,w,p,f,f,f,w,g,u
[e],8.82,x,y,n,t,d,c,y,3.99,25.39,e,s,l,p,f,f,f,b,d,a
[e],7.6,f,s,n,f,e,c,w,14.11,15.19,e,g,w,u,w,f,f,w,d,a
[e],6.44,x,y,r,t,d,c,y,3.54,22.21,e,s,y,p,f,f,f,b,d,a
[e],9.76,x,w,n,f,f,f,f,9.48,18.55,c,s,n,p,f,f,f,n,d,a
[p],4.22,x,y,n,f,s,c,w,6.74,3.71,e,y,o,p,f,f,f,w,d,u
[p],5.6,x,t,n,t,a,c,e,3.46,18.78,e,s,e,p,f,f,f,b,d,a
[e],8.54,f,i,b,f,a,c,w,7.58,21.34,e,y,w,p,w,t,e,w,d,u
[p],3.32,f,y,w,f,e,c,w,5.79,5.59,b,s,g,p,w,f,f,w,d,u
[e],3.41,x,s,e,f,f,f,f,2.58,12.72,e,s,e,p,f,f,f,w,d,a
[e],7.65,f,s,o,t,a,c,w,6.46,11.56,e,g,b,p,f,f,f,w,d,u
[p],13.81,x,s,n,f,a,c,w,8.9,40.63,e,s,y,p,f,f,f,b,b,u
[p],9.48,f,t,o,f,x,d,o,7.2,8.57,e,f,o,p,f,f,f,w,d,a
[p],4.92,f,t,y,t,s,c,y,3.16,14.31,e,s,n,p,f,f,f,b,d,u
[e],10.52,s,w,n,t,a,c,w,9.14,15.91,e,g,b,p,f,f,f,w,d,a
[p],4.5,f,t,o,t,x,c,n,4.76,12.56,e,i,w,p,f,f,f,w,d,u
[p],13.54,s,s,e,t,a,c,w,3.89,18.5,e,s,w,p,f,f,f,y,d,u
[e],2.55,x,s,n,t,a,c,w,4.52,4.68,e,s,e,p,f,f,f,w,d,u
[p],6.78,x,y,n,t,e,c,n,6.01,8.24,b,s,w,p,w,t,r,n,d,u
[p],6.62,b,k,w,f,x,c,w,6.47,10.23,s,k,y,p,f,f,f,n,d,u
[e],6.65,o,w,n,t,f,f,f,8.02,51.71,e,w,w,p,f,f,f,w,d,s
[e],6.53,x,i,n,f,f,f,f,7.11,10.64,b,i,y,p,w,t,e,n,d,a
